key,value,timestamp,sentence
A - Very Sad,0.1645,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
B - Sad,0.6452,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
D - Happy,0.1031,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
E - Very Happy,0.0872,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
A - Very Sad,0.1072,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
B - Sad,0.2111,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
D - Happy,0.5326,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
E - Very Happy,0.1491,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
A - Very Sad,0.2103,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
B - Sad,0.6603,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
D - Happy,0.0718,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
E - Very Happy,0.0576,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
A - Very Sad,0.1557,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
B - Sad,0.3214,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
D - Happy,0.3626,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
E - Very Happy,0.1604,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
A - Very Sad,0.1476,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
B - Sad,0.2973,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
D - Happy,0.3927,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
E - Very Happy,0.1623,"00:01:14,825 --> 00:01:17,327","Copy that, Explorer."
A - Very Sad,0.1752,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
B - Sad,0.3125,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
D - Happy,0.3423,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
E - Very Happy,0.1700,"00:01:18,079 --> 00:01:19,746","Dr. Stone, Houston."
A - Very Sad,0.1546,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
B - Sad,0.3495,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
D - Happy,0.3417,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
E - Very Happy,0.1542,"00:01:19,997 --> 00:01:22,791","Medical is concerned about your ECG readings."
A - Very Sad,0.1355,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
B - Sad,0.2669,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
D - Happy,0.3528,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
E - Very Happy,0.2448,"00:01:23,042 --> 00:01:24,709","STONE [OVER RADIO]: I'm fine, Houston."
A - Very Sad,0.1993,"00:01:24,961 --> 00:01:28,797","CONTROL: Well, Medical doesn't agree, doc."
B - Sad,0.5903,"00:01:24,961 --> 00:01:28,797","CONTROL: Well, Medical doesn't agree, doc."
D - Happy,0.1182,"00:01:24,961 --> 00:01:28,797","CONTROL: Well, Medical doesn't agree, doc."
E - Very Happy,0.0922,"00:01:24,961 --> 00:01:28,797","CONTROL: Well, Medical doesn't agree, doc."
A - Very Sad,0.1541,"00:01:24,961 --> 00:01:28,797","Are you feeling nauseous?"
B - Sad,0.4915,"00:01:24,961 --> 00:01:28,797","Are you feeling nauseous?"
D - Happy,0.2187,"00:01:24,961 --> 00:01:28,797","Are you feeling nauseous?"
E - Very Happy,0.1356,"00:01:24,961 --> 00:01:28,797","Are you feeling nauseous?"
A - Very Sad,0.1770,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
B - Sad,0.5785,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
D - Happy,0.1388,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
E - Very Happy,0.1056,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
A - Very Sad,0.1717,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
B - Sad,0.3386,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
D - Happy,0.3197,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
E - Very Happy,0.1700,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
A - Very Sad,0.1688,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
B - Sad,0.5728,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
D - Happy,0.1564,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
E - Very Happy,0.1020,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
A - Very Sad,0.1273,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
B - Sad,0.7276,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
D - Happy,0.0977,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
E - Very Happy,0.0474,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
A - Very Sad,0.1519,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
B - Sad,0.4176,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
D - Happy,0.2967,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
E - Very Happy,0.1338,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
A - Very Sad,0.1315,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
B - Sad,0.2994,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
D - Happy,0.4152,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
E - Very Happy,0.1539,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
A - Very Sad,0.1689,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
B - Sad,0.4599,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
D - Happy,0.2283,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
E - Very Happy,0.1429,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
A - Very Sad,0.1988,"00:01:50,152 --> 00:01:51,778","Please confirm link."
B - Sad,0.3608,"00:01:50,152 --> 00:01:51,778","Please confirm link."
D - Happy,0.2562,"00:01:50,152 --> 00:01:51,778","Please confirm link."
E - Very Happy,0.1842,"00:01:50,152 --> 00:01:51,778","Please confirm link."
A - Very Sad,0.2963,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
B - Sad,0.6069,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
D - Happy,0.0483,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
E - Very Happy,0.0484,"00:01:52,488 --> 00:01:55,532","CONTROL: That's a negative, we're not seeing any data."
A - Very Sad,0.2525,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
B - Sad,0.6184,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
D - Happy,0.0683,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
E - Very Happy,0.0609,"00:01:55,992 --> 00:01:58,535","STONE: Stand by, Houston, I'm gonna reboot the comms card."
A - Very Sad,0.1500,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
B - Sad,0.2423,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
D - Happy,0.4390,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
E - Very Happy,0.1687,"00:01:58,786 --> 00:01:59,744","CONTROL: Standing by."
A - Very Sad,0.2663,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
B - Sad,0.6291,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
D - Happy,0.0560,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
E - Very Happy,0.0485,"00:01:59,996 --> 00:02:02,831","KOWALSKI [OVER RADIO]: Houston, I have a bad feeling about this mission."
A - Very Sad,0.1772,"00:02:03,082 --> 00:02:04,582","CONTROL: Please expand."
B - Sad,0.4193,"00:02:03,082 --> 00:02:04,582","CONTROL: Please expand."
D - Happy,0.2443,"00:02:03,082 --> 00:02:04,582","CONTROL: Please expand."
E - Very Happy,0.1592,"00:02:03,082 --> 00:02:04,582","CONTROL: Please expand."
A - Very Sad,0.1373,"00:02:04,834 --> 00:02:06,626","KOWALSKI: Okay, let me tell you a story."
B - Sad,0.3340,"00:02:04,834 --> 00:02:06,626","KOWALSKI: Okay, let me tell you a story."
D - Happy,0.3696,"00:02:04,834 --> 00:02:06,626","KOWALSKI: Okay, let me tell you a story."
E - Very Happy,0.1590,"00:02:04,834 --> 00:02:06,626","KOWALSKI: Okay, let me tell you a story."
A - Very Sad,0.1734,"00:02:06,877 --> 00:02:10,213","It was '96."
B - Sad,0.4103,"00:02:06,877 --> 00:02:10,213","It was '96."
D - Happy,0.2667,"00:02:06,877 --> 00:02:10,213","It was '96."
E - Very Happy,0.1496,"00:02:06,877 --> 00:02:10,213","It was '96."
A - Very Sad,0.1715,"00:02:06,877 --> 00:02:10,213","I'd been up here for 42 days."
B - Sad,0.2943,"00:02:06,877 --> 00:02:10,213","I'd been up here for 42 days."
D - Happy,0.3623,"00:02:06,877 --> 00:02:10,213","I'd been up here for 42 days."
E - Very Happy,0.1719,"00:02:06,877 --> 00:02:10,213","I'd been up here for 42 days."
A - Very Sad,0.1792,"00:02:10,464 --> 00:02:13,049","Every time I passed over Texas, I looked down..."
B - Sad,0.6599,"00:02:10,464 --> 00:02:13,049","Every time I passed over Texas, I looked down..."
D - Happy,0.0953,"00:02:10,464 --> 00:02:13,049","Every time I passed over Texas, I looked down..."
E - Very Happy,0.0656,"00:02:10,464 --> 00:02:13,049","Every time I passed over Texas, I looked down..."
A - Very Sad,0.1770,"00:02:13,301 --> 00:02:17,304","...knowing that Mrs. Kowalski was looking up, thinking of me."
B - Sad,0.5961,"00:02:13,301 --> 00:02:17,304","...knowing that Mrs. Kowalski was looking up, thinking of me."
D - Happy,0.1279,"00:02:13,301 --> 00:02:17,304","...knowing that Mrs. Kowalski was looking up, thinking of me."
E - Very Happy,0.0990,"00:02:13,301 --> 00:02:17,304","...knowing that Mrs. Kowalski was looking up, thinking of me."
A - Very Sad,0.1560,"00:02:17,638 --> 00:02:20,223","Six weeks I'm blowing kisses at that woman."
B - Sad,0.5031,"00:02:17,638 --> 00:02:20,223","Six weeks I'm blowing kisses at that woman."
D - Happy,0.2321,"00:02:17,638 --> 00:02:20,223","Six weeks I'm blowing kisses at that woman."
E - Very Happy,0.1088,"00:02:17,638 --> 00:02:20,223","Six weeks I'm blowing kisses at that woman."
A - Very Sad,0.2500,"00:02:20,474 --> 00:02:23,935","Then we land at Edwards and I find out that she's run off with this lawyer."
B - Sad,0.5920,"00:02:20,474 --> 00:02:23,935","Then we land at Edwards and I find out that she's run off with this lawyer."
D - Happy,0.0813,"00:02:20,474 --> 00:02:23,935","Then we land at Edwards and I find out that she's run off with this lawyer."
E - Very Happy,0.0768,"00:02:20,474 --> 00:02:23,935","Then we land at Edwards and I find out that she's run off with this lawyer."
A - Very Sad,0.0020,"00:02:24,186 --> 00:02:26,062","So I packed my car, and I headed to..."
B - Sad,0.0017,"00:02:24,186 --> 00:02:26,062","So I packed my car, and I headed to..."
D - Happy,0.5056,"00:02:24,186 --> 00:02:26,062","So I packed my car, and I headed to..."
E - Very Happy,0.4906,"00:02:24,186 --> 00:02:26,062","So I packed my car, and I headed to..."
A - Very Sad,0.1557,"00:02:26,314 --> 00:02:28,982","CONTROL: Tijuana."
B - Sad,0.3214,"00:02:26,314 --> 00:02:28,982","CONTROL: Tijuana."
D - Happy,0.3626,"00:02:26,314 --> 00:02:28,982","CONTROL: Tijuana."
E - Very Happy,0.1604,"00:02:26,314 --> 00:02:28,982","CONTROL: Tijuana."
A - Very Sad,0.1676,"00:02:26,314 --> 00:02:28,982","You've told this story, Kowalski."
B - Sad,0.4065,"00:02:26,314 --> 00:02:28,982","You've told this story, Kowalski."
D - Happy,0.2795,"00:02:26,314 --> 00:02:28,982","You've told this story, Kowalski."
E - Very Happy,0.1464,"00:02:26,314 --> 00:02:28,982","You've told this story, Kowalski."
A - Very Sad,0.1874,"00:02:29,233 --> 00:02:33,111","As Houston recalls, she, uh, took off in your '74 GTO."
B - Sad,0.5385,"00:02:29,233 --> 00:02:33,111","As Houston recalls, she, uh, took off in your '74 GTO."
D - Happy,0.1623,"00:02:29,233 --> 00:02:33,111","As Houston recalls, she, uh, took off in your '74 GTO."
E - Very Happy,0.1117,"00:02:29,233 --> 00:02:33,111","As Houston recalls, she, uh, took off in your '74 GTO."
A - Very Sad,0.1489,"00:02:33,362 --> 00:02:36,698","Engineering requests fuel status on the jetpack prototype."
B - Sad,0.4005,"00:02:33,362 --> 00:02:36,698","Engineering requests fuel status on the jetpack prototype."
D - Happy,0.3099,"00:02:33,362 --> 00:02:36,698","Engineering requests fuel status on the jetpack prototype."
E - Very Happy,0.1408,"00:02:33,362 --> 00:02:36,698","Engineering requests fuel status on the jetpack prototype."
A - Very Sad,0.2988,"00:02:36,949 --> 00:02:40,493","KOWALSKI: Five hours off the reservation and I show 30 percent drain."
B - Sad,0.6233,"00:02:36,949 --> 00:02:40,493","KOWALSKI: Five hours off the reservation and I show 30 percent drain."
D - Happy,0.0380,"00:02:36,949 --> 00:02:40,493","KOWALSKI: Five hours off the reservation and I show 30 percent drain."
E - Very Happy,0.0399,"00:02:36,949 --> 00:02:40,493","KOWALSKI: Five hours off the reservation and I show 30 percent drain."
A - Very Sad,0.1125,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
B - Sad,0.2686,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
D - Happy,0.4720,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
E - Very Happy,0.1469,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
A - Very Sad,0.1859,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
B - Sad,0.3420,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
D - Happy,0.2902,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
E - Very Happy,0.1820,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
A - Very Sad,0.0359,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
B - Sad,0.0530,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
D - Happy,0.6043,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
E - Very Happy,0.3069,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
A - Very Sad,0.1636,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
B - Sad,0.6144,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
