key,value,timestamp,sentence
Very Sad,0.0443,"00:00:28,000 --> 00:00:32,100","Forget it."
Sad,0.2389,"00:00:28,000 --> 00:00:32,100","Forget it."
Neutral,0.5885,"00:00:28,000 --> 00:00:32,100","Forget it."
Happy,0.1081,"00:00:28,000 --> 00:00:32,100","Forget it."
Very Happy,0.0202,"00:00:28,000 --> 00:00:32,100","Forget it."
Very Sad,0.0764,"00:00:28,000 --> 00:00:32,100","It's too risky."
Sad,0.4869,"00:00:28,000 --> 00:00:32,100","It's too risky."
Neutral,0.3919,"00:00:28,000 --> 00:00:32,100","It's too risky."
Happy,0.0364,"00:00:28,000 --> 00:00:32,100","It's too risky."
Very Happy,0.0085,"00:00:28,000 --> 00:00:32,100","It's too risky."
Very Sad,0.0662,"00:00:28,000 --> 00:00:32,100","I'm through doing that shit."
Sad,0.4129,"00:00:28,000 --> 00:00:32,100","I'm through doing that shit."
Neutral,0.4000,"00:00:28,000 --> 00:00:32,100","I'm through doing that shit."
Happy,0.1010,"00:00:28,000 --> 00:00:32,100","I'm through doing that shit."
Very Happy,0.0198,"00:00:28,000 --> 00:00:32,100","I'm through doing that shit."
Very Sad,0.0034,"00:00:32,200 --> 00:00:35,600","You always say that."
Sad,0.0209,"00:00:32,200 --> 00:00:35,600","You always say that."
Neutral,0.7615,"00:00:32,200 --> 00:00:35,600","You always say that."
Happy,0.2054,"00:00:32,200 --> 00:00:35,600","You always say that."
Very Happy,0.0087,"00:00:32,200 --> 00:00:35,600","You always say that."
Very Sad,0.0265,"00:00:32,200 --> 00:00:35,600","The same thing every time."
Sad,0.2786,"00:00:32,200 --> 00:00:35,600","The same thing every time."
Neutral,0.6508,"00:00:32,200 --> 00:00:35,600","The same thing every time."
Happy,0.0412,"00:00:32,200 --> 00:00:35,600","The same thing every time."
Very Happy,0.0030,"00:00:32,200 --> 00:00:35,600","The same thing every time."
Very Sad,0.2012,"00:00:35,600 --> 00:00:37,700","l'm through, never again, too dangerous."
Sad,0.6564,"00:00:35,600 --> 00:00:37,700","l'm through, never again, too dangerous."
Neutral,0.1176,"00:00:35,600 --> 00:00:37,700","l'm through, never again, too dangerous."
Happy,0.0179,"00:00:35,600 --> 00:00:37,700","l'm through, never again, too dangerous."
Very Happy,0.0069,"00:00:35,600 --> 00:00:37,700","l'm through, never again, too dangerous."
Very Sad,0.0235,"00:00:37,700 --> 00:00:40,300","I know that's what I always say."
Sad,0.1020,"00:00:37,700 --> 00:00:40,300","I know that's what I always say."
Neutral,0.3811,"00:00:37,700 --> 00:00:40,300","I know that's what I always say."
Happy,0.4294,"00:00:37,700 --> 00:00:40,300","I know that's what I always say."
Very Happy,0.0639,"00:00:37,700 --> 00:00:40,300","I know that's what I always say."
Very Sad,0.0121,"00:00:37,700 --> 00:00:40,300","I'm always right too."
Sad,0.0285,"00:00:37,700 --> 00:00:40,300","I'm always right too."
Neutral,0.1321,"00:00:37,700 --> 00:00:40,300","I'm always right too."
Happy,0.6543,"00:00:37,700 --> 00:00:40,300","I'm always right too."
Very Happy,0.1730,"00:00:37,700 --> 00:00:40,300","I'm always right too."
Very Sad,0.0373,"00:00:40,300 --> 00:00:43,800","- You forget about it in a day or two."
Sad,0.4094,"00:00:40,300 --> 00:00:43,800","- You forget about it in a day or two."
Neutral,0.5084,"00:00:40,300 --> 00:00:43,800","- You forget about it in a day or two."
Happy,0.0394,"00:00:40,300 --> 00:00:43,800","- You forget about it in a day or two."
Very Happy,0.0055,"00:00:40,300 --> 00:00:43,800","- You forget about it in a day or two."
Very Sad,0.0607,"00:00:40,300 --> 00:00:43,800","- The days of me forgetting are over."
Sad,0.5546,"00:00:40,300 --> 00:00:43,800","- The days of me forgetting are over."
Neutral,0.3314,"00:00:40,300 --> 00:00:43,800","- The days of me forgetting are over."
Happy,0.0447,"00:00:40,300 --> 00:00:43,800","- The days of me forgetting are over."
Very Happy,0.0087,"00:00:40,300 --> 00:00:43,800","- The days of me forgetting are over."
Very Sad,0.0523,"00:00:43,800 --> 00:00:45,900","The days of me remembering have just begun."
Sad,0.4601,"00:00:43,800 --> 00:00:45,900","The days of me remembering have just begun."
Neutral,0.3809,"00:00:43,800 --> 00:00:45,900","The days of me remembering have just begun."
Happy,0.0933,"00:00:43,800 --> 00:00:45,900","The days of me remembering have just begun."
Very Happy,0.0136,"00:00:43,800 --> 00:00:45,900","The days of me remembering have just begun."
Very Sad,0.0208,"00:00:45,900 --> 00:00:48,200","You know, when you go on like this, what you sound like?"
Sad,0.2499,"00:00:45,900 --> 00:00:48,200","You know, when you go on like this, what you sound like?"
Neutral,0.6729,"00:00:45,900 --> 00:00:48,200","You know, when you go on like this, what you sound like?"
Happy,0.0509,"00:00:45,900 --> 00:00:48,200","You know, when you go on like this, what you sound like?"
Very Happy,0.0055,"00:00:45,900 --> 00:00:48,200","You know, when you go on like this, what you sound like?"
Very Sad,0.0568,"00:00:48,200 --> 00:00:51,200","- I sound like a sensible fuckin' man."
Sad,0.4568,"00:00:48,200 --> 00:00:51,200","- I sound like a sensible fuckin' man."
Neutral,0.3988,"00:00:48,200 --> 00:00:51,200","- I sound like a sensible fuckin' man."
Happy,0.0764,"00:00:48,200 --> 00:00:51,200","- I sound like a sensible fuckin' man."
Very Happy,0.0112,"00:00:48,200 --> 00:00:51,200","- I sound like a sensible fuckin' man."
Very Sad,0.0445,"00:00:48,200 --> 00:00:51,200","- You sound like a duck."
Sad,0.4534,"00:00:48,200 --> 00:00:51,200","- You sound like a duck."
Neutral,0.4578,"00:00:48,200 --> 00:00:51,200","- You sound like a duck."
Happy,0.0383,"00:00:48,200 --> 00:00:51,200","- You sound like a duck."
Very Happy,0.0061,"00:00:48,200 --> 00:00:51,200","- You sound like a duck."
Very Sad,0.0995,"00:00:51,200 --> 00:00:54,800","- Quack, quack, quack."
Sad,0.3381,"00:00:51,200 --> 00:00:54,800","- Quack, quack, quack."
Neutral,0.2066,"00:00:51,200 --> 00:00:54,800","- Quack, quack, quack."
Happy,0.2632,"00:00:51,200 --> 00:00:54,800","- Quack, quack, quack."
Very Happy,0.0926,"00:00:51,200 --> 00:00:54,800","- Quack, quack, quack."
Very Sad,0.0502,"00:00:51,200 --> 00:00:54,800","- Take heart, 'cause you're never gonna have to hear it again."
Sad,0.2993,"00:00:51,200 --> 00:00:54,800","- Take heart, 'cause you're never gonna have to hear it again."
Neutral,0.4694,"00:00:51,200 --> 00:00:54,800","- Take heart, 'cause you're never gonna have to hear it again."
Happy,0.1558,"00:00:51,200 --> 00:00:54,800","- Take heart, 'cause you're never gonna have to hear it again."
Very Happy,0.0253,"00:00:51,200 --> 00:00:54,800","- Take heart, 'cause you're never gonna have to hear it again."
Very Sad,0.2773,"00:00:54,800 --> 00:00:58,400","Since I'm never gonna do it again, you're never gonna have to hear me quack."
Sad,0.4939,"00:00:54,800 --> 00:00:58,400","Since I'm never gonna do it again, you're never gonna have to hear me quack."
Neutral,0.2022,"00:00:54,800 --> 00:00:58,400","Since I'm never gonna do it again, you're never gonna have to hear me quack."
Happy,0.0144,"00:00:54,800 --> 00:00:58,400","Since I'm never gonna do it again, you're never gonna have to hear me quack."
Very Happy,0.0123,"00:00:54,800 --> 00:00:58,400","Since I'm never gonna do it again, you're never gonna have to hear me quack."
Very Sad,0.0675,"00:00:58,400 --> 00:01:03,100","- After tonight?"
Sad,0.5636,"00:00:58,400 --> 00:01:03,100","- After tonight?"
Neutral,0.3276,"00:00:58,400 --> 00:01:03,100","- After tonight?"
Happy,0.0329,"00:00:58,400 --> 00:01:03,100","- After tonight?"
Very Happy,0.0084,"00:00:58,400 --> 00:01:03,100","- After tonight?"
Very Sad,0.0183,"00:00:58,400 --> 00:01:03,100","- Correct."
Sad,0.1278,"00:00:58,400 --> 00:01:03,100","- Correct."
Neutral,0.6783,"00:00:58,400 --> 00:01:03,100","- Correct."
Happy,0.1609,"00:00:58,400 --> 00:01:03,100","- Correct."
Very Happy,0.0148,"00:00:58,400 --> 00:01:03,100","- Correct."
Very Sad,0.1768,"00:00:58,400 --> 00:01:03,100","I got all tonight to quack."
Sad,0.4714,"00:00:58,400 --> 00:01:03,100","I got all tonight to quack."
Neutral,0.1477,"00:00:58,400 --> 00:01:03,100","I got all tonight to quack."
Happy,0.1330,"00:00:58,400 --> 00:01:03,100","I got all tonight to quack."
Very Happy,0.0711,"00:00:58,400 --> 00:01:03,100","I got all tonight to quack."
Very Sad,0.0102,"00:01:03,200 --> 00:01:06,000","- Can I get anyone more coffee?"
Sad,0.1628,"00:01:03,200 --> 00:01:06,000","- Can I get anyone more coffee?"
Neutral,0.8090,"00:01:03,200 --> 00:01:06,000","- Can I get anyone more coffee?"
Happy,0.0161,"00:01:03,200 --> 00:01:06,000","- Can I get anyone more coffee?"
Very Happy,0.0019,"00:01:03,200 --> 00:01:06,000","- Can I get anyone more coffee?"
Very Sad,0.0038,"00:01:03,200 --> 00:01:06,000","- Oh, yes!"
Sad,0.0254,"00:01:03,200 --> 00:01:06,000","- Oh, yes!"
Neutral,0.6711,"00:01:03,200 --> 00:01:06,000","- Oh, yes!"
Happy,0.2902,"00:01:03,200 --> 00:01:06,000","- Oh, yes!"
Very Happy,0.0095,"00:01:03,200 --> 00:01:06,000","- Oh, yes!"
Very Sad,0.0147,"00:01:07,800 --> 00:01:10,400","- Thank you."
Sad,0.0572,"00:01:07,800 --> 00:01:10,400","- Thank you."
Neutral,0.3271,"00:01:07,800 --> 00:01:10,400","- Thank you."
Happy,0.5453,"00:01:07,800 --> 00:01:10,400","- Thank you."
Very Happy,0.0557,"00:01:07,800 --> 00:01:10,400","- Thank you."
Very Sad,0.0117,"00:01:07,800 --> 00:01:10,400","- You're welcome."
Sad,0.0722,"00:01:07,800 --> 00:01:10,400","- You're welcome."
Neutral,0.3878,"00:01:07,800 --> 00:01:10,400","- You're welcome."
Happy,0.5030,"00:01:07,800 --> 00:01:10,400","- You're welcome."
Very Happy,0.0254,"00:01:07,800 --> 00:01:10,400","- You're welcome."
Very Sad,0.1075,"00:01:10,400 --> 00:01:13,500","I mean, the way it is now,"
Sad,0.5260,"00:01:10,400 --> 00:01:13,500","I mean, the way it is now,"
Neutral,0.2644,"00:01:10,400 --> 00:01:13,500","I mean, the way it is now,"
Happy,0.0785,"00:01:10,400 --> 00:01:13,500","I mean, the way it is now,"
Very Happy,0.0236,"00:01:10,400 --> 00:01:13,500","I mean, the way it is now,"
Very Sad,0.0360,"00:01:13,600 --> 00:01:16,400","you're takin' the same risk as when you rob a bank."
Sad,0.3258,"00:01:13,600 --> 00:01:16,400","you're takin' the same risk as when you rob a bank."
Neutral,0.5440,"00:01:13,600 --> 00:01:16,400","you're takin' the same risk as when you rob a bank."
Happy,0.0831,"00:01:13,600 --> 00:01:16,400","you're takin' the same risk as when you rob a bank."
Very Happy,0.0112,"00:01:13,600 --> 00:01:16,400","you're takin' the same risk as when you rob a bank."
Very Sad,0.0224,"00:01:16,500 --> 00:01:18,500","Takin' more of a risk."
Sad,0.1812,"00:01:16,500 --> 00:01:18,500","Takin' more of a risk."
Neutral,0.6717,"00:01:16,500 --> 00:01:18,500","Takin' more of a risk."
Happy,0.1146,"00:01:16,500 --> 00:01:18,500","Takin' more of a risk."
Very Happy,0.0100,"00:01:16,500 --> 00:01:18,500","Takin' more of a risk."
Very Sad,0.0361,"00:01:16,500 --> 00:01:18,500","Banks are easier."
Sad,0.2452,"00:01:16,500 --> 00:01:18,500","Banks are easier."
Neutral,0.5202,"00:01:16,500 --> 00:01:18,500","Banks are easier."
Happy,0.1700,"00:01:16,500 --> 00:01:18,500","Banks are easier."
Very Happy,0.0285,"00:01:16,500 --> 00:01:18,500","Banks are easier."
Very Sad,0.1112,"00:01:18,500 --> 00:01:21,700","Federal banks ain't supposed to stop you in any way during a robbery."
Sad,0.5674,"00:01:18,500 --> 00:01:21,700","Federal banks ain't supposed to stop you in any way during a robbery."
Neutral,0.2405,"00:01:18,500 --> 00:01:21,700","Federal banks ain't supposed to stop you in any way during a robbery."
Happy,0.0592,"00:01:18,500 --> 00:01:21,700","Federal banks ain't supposed to stop you in any way during a robbery."
Very Happy,0.0216,"00:01:18,500 --> 00:01:21,700","Federal banks ain't supposed to stop you in any way during a robbery."
