key,value,timestamp,sentence
A - Very Sad,0.1497,"00:02:06,168 --> 00:02:07,954","null ﻿1 She isn't coming yet, Toto."
B - Sad,0.5940,"00:02:06,168 --> 00:02:07,954","null ﻿1 She isn't coming yet, Toto."
C - Neutral,0.1997,"00:02:06,168 --> 00:02:07,954","null ﻿1 She isn't coming yet, Toto."
D - Happy,0.0363,"00:02:06,168 --> 00:02:07,954","null ﻿1 She isn't coming yet, Toto."
E - Very Happy,0.0202,"00:02:06,168 --> 00:02:07,954","null ﻿1 She isn't coming yet, Toto."
A - Very Sad,0.0161,"00:02:08,211 --> 00:02:09,622","Did she hurt you?"
B - Sad,0.3318,"00:02:08,211 --> 00:02:09,622","Did she hurt you?"
C - Neutral,0.6365,"00:02:08,211 --> 00:02:09,622","Did she hurt you?"
D - Happy,0.0142,"00:02:08,211 --> 00:02:09,622","Did she hurt you?"
E - Very Happy,0.0015,"00:02:08,211 --> 00:02:09,622","Did she hurt you?"
A - Very Sad,0.0328,"00:02:09,880 --> 00:02:11,587","She tried to, didn't she?"
B - Sad,0.2969,"00:02:09,880 --> 00:02:11,587","She tried to, didn't she?"
C - Neutral,0.4391,"00:02:09,880 --> 00:02:11,587","She tried to, didn't she?"
D - Happy,0.2112,"00:02:09,880 --> 00:02:11,587","She tried to, didn't she?"
E - Very Happy,0.0200,"00:02:09,880 --> 00:02:11,587","She tried to, didn't she?"
A - Very Sad,0.0492,"00:02:11,840 --> 00:02:15,083","Come on."
B - Sad,0.2420,"00:02:11,840 --> 00:02:15,083","Come on."
C - Neutral,0.4596,"00:02:11,840 --> 00:02:15,083","Come on."
D - Happy,0.2082,"00:02:11,840 --> 00:02:15,083","Come on."
E - Very Happy,0.0410,"00:02:11,840 --> 00:02:15,083","Come on."
A - Very Sad,0.0529,"00:02:11,840 --> 00:02:15,083","We'll go tell Uncle Henry and Auntie Em."
B - Sad,0.2479,"00:02:11,840 --> 00:02:15,083","We'll go tell Uncle Henry and Auntie Em."
C - Neutral,0.2872,"00:02:11,840 --> 00:02:15,083","We'll go tell Uncle Henry and Auntie Em."
D - Happy,0.3373,"00:02:11,840 --> 00:02:15,083","We'll go tell Uncle Henry and Auntie Em."
E - Very Happy,0.0747,"00:02:11,840 --> 00:02:15,083","We'll go tell Uncle Henry and Auntie Em."
A - Very Sad,0.1143,"00:02:11,840 --> 00:02:15,083","Come on, Toto."
B - Sad,0.3898,"00:02:11,840 --> 00:02:15,083","Come on, Toto."
C - Neutral,0.2270,"00:02:11,840 --> 00:02:15,083","Come on, Toto."
D - Happy,0.1864,"00:02:11,840 --> 00:02:15,083","Come on, Toto."
E - Very Happy,0.0825,"00:02:11,840 --> 00:02:15,083","Come on, Toto."
A - Very Sad,0.0341,"00:02:23,393 --> 00:02:26,385","Aunt Em!"
B - Sad,0.1373,"00:02:23,393 --> 00:02:26,385","Aunt Em!"
C - Neutral,0.3477,"00:02:23,393 --> 00:02:26,385","Aunt Em!"
D - Happy,0.3926,"00:02:23,393 --> 00:02:26,385","Aunt Em!"
E - Very Happy,0.0882,"00:02:23,393 --> 00:02:26,385","Aunt Em!"
A - Very Sad,0.0341,"00:02:23,393 --> 00:02:26,385","Aunt Em!"
B - Sad,0.1373,"00:02:23,393 --> 00:02:26,385","Aunt Em!"
C - Neutral,0.3477,"00:02:23,393 --> 00:02:26,385","Aunt Em!"
D - Happy,0.3926,"00:02:23,393 --> 00:02:26,385","Aunt Em!"
E - Very Happy,0.0882,"00:02:23,393 --> 00:02:26,385","Aunt Em!"
A - Very Sad,0.0096,"00:02:26,647 --> 00:02:29,014","Just listen to what Miss Gulch did to Toto..."
B - Sad,0.1030,"00:02:26,647 --> 00:02:29,014","Just listen to what Miss Gulch did to Toto..."
C - Neutral,0.7797,"00:02:26,647 --> 00:02:29,014","Just listen to what Miss Gulch did to Toto..."
D - Happy,0.1018,"00:02:26,647 --> 00:02:29,014","Just listen to what Miss Gulch did to Toto..."
E - Very Happy,0.0059,"00:02:26,647 --> 00:02:29,014","Just listen to what Miss Gulch did to Toto..."
A - Very Sad,0.0254,"00:02:29,274 --> 00:02:31,015","Dorothy, please."
B - Sad,0.0833,"00:02:29,274 --> 00:02:31,015","Dorothy, please."
