key,value,timestamp,sentence
A - Very Sad,0.1197,"00:00:12,667 --> 00:00:13,655","I1 You nervous?"
B - Sad,0.7251,"00:00:12,667 --> 00:00:13,655","I1 You nervous?"
C - Neutral,0.0870,"00:00:12,667 --> 00:00:13,655","I1 You nervous?"
D - Happy,0.0870,"00:00:12,667 --> 00:00:13,655","I1 You nervous?"
E - Very Happy,0.0682,"00:00:12,667 --> 00:00:13,655","I1 You nervous?"
A - Very Sad,0.1205,"00:00:14,244 --> 00:00:15,783","Were you, at your test?"
B - Sad,0.2457,"00:00:14,244 --> 00:00:15,783","Were you, at your test?"
C - Neutral,0.2457,"00:00:14,244 --> 00:00:15,783","Were you, at your test?"
D - Happy,0.5021,"00:00:14,244 --> 00:00:15,783","Were you, at your test?"
E - Very Happy,0.1318,"00:00:14,244 --> 00:00:15,783","Were you, at your test?"
A - Very Sad,0.2231,"00:00:16,271 --> 00:00:18,410","No."
B - Sad,0.3492,"00:00:16,271 --> 00:00:18,410","No."
C - Neutral,0.2174,"00:00:16,271 --> 00:00:18,410","No."
D - Happy,0.2174,"00:00:16,271 --> 00:00:18,410","No."
E - Very Happy,0.2104,"00:00:16,271 --> 00:00:18,410","No."
A - Very Sad,0.1715,"00:00:16,271 --> 00:00:18,410","I was terrified."
B - Sad,0.5265,"00:00:16,271 --> 00:00:18,410","I was terrified."
C - Neutral,0.5265,"00:00:16,271 --> 00:00:18,410","I was terrified."
D - Happy,0.1734,"00:00:16,271 --> 00:00:18,410","I was terrified."
E - Very Happy,0.1285,"00:00:16,271 --> 00:00:18,410","I was terrified."
A - Very Sad,0.2294,"00:00:20,453 --> 00:00:23,207","The only way our society can survive"
B - Sad,0.2920,"00:00:20,453 --> 00:00:23,207","The only way our society can survive"
C - Neutral,0.2920,"00:00:20,453 --> 00:00:23,207","The only way our society can survive"
D - Happy,0.2537,"00:00:20,453 --> 00:00:23,207","The only way our society can survive"
E - Very Happy,0.2250,"00:00:20,453 --> 00:00:23,207","The only way our society can survive"
A - Very Sad,0.1494,"00:00:23,373 --> 00:00:26,001","is for each of you to claim your rightful place."
B - Sad,0.3292,"00:00:23,373 --> 00:00:26,001","is for each of you to claim your rightful place."
C - Neutral,0.3769,"00:00:23,373 --> 00:00:26,001","is for each of you to claim your rightful place."
D - Happy,0.3769,"00:00:23,373 --> 00:00:26,001","is for each of you to claim your rightful place."
E - Very Happy,0.1446,"00:00:23,373 --> 00:00:26,001","is for each of you to claim your rightful place."
A - Very Sad,0.0454,"00:00:29,045 --> 00:00:33,091","Today, you will take a test that will help you discover who you truly are."
B - Sad,0.0754,"00:00:29,045 --> 00:00:33,091","Today, you will take a test that will help you discover who you truly are."
C - Neutral,0.0754,"00:00:29,045 --> 00:00:33,091","Today, you will take a test that will help you discover who you truly are."
D - Happy,0.6784,"00:00:29,045 --> 00:00:33,091","Today, you will take a test that will help you discover who you truly are."
E - Very Happy,0.2009,"00:00:29,045 --> 00:00:33,091","Today, you will take a test that will help you discover who you truly are."
A - Very Sad,0.2470,"00:00:34,483 --> 00:00:35,594","The future"
B - Sad,0.2512,"00:00:34,483 --> 00:00:35,594","The future"
C - Neutral,0.2512,"00:00:34,483 --> 00:00:35,594","The future"
D - Happy,0.2549,"00:00:34,483 --> 00:00:35,594","The future"
E - Very Happy,0.2469,"00:00:34,483 --> 00:00:35,594","The future"
A - Very Sad,0.0470,"00:00:35,802 --> 00:00:39,139","belongs to those who know where they belong."
B - Sad,0.0743,"00:00:35,802 --> 00:00:39,139","belongs to those who know where they belong."
C - Neutral,0.0743,"00:00:35,802 --> 00:00:39,139","belongs to those who know where they belong."
D - Happy,0.7380,"00:00:35,802 --> 00:00:39,139","belongs to those who know where they belong."
E - Very Happy,0.1408,"00:00:35,802 --> 00:00:39,139","belongs to those who know where they belong."
A - Very Sad,0.2038,"00:00:41,224 --> 00:00:42,518","You ready?"
B - Sad,0.3847,"00:00:41,224 --> 00:00:42,518","You ready?"
C - Neutral,0.3847,"00:00:41,224 --> 00:00:42,518","You ready?"
D - Happy,0.2204,"00:00:41,224 --> 00:00:42,518","You ready?"
E - Very Happy,0.1911,"00:00:41,224 --> 00:00:42,518","You ready?"
A - Very Sad,0.1116,"00:00:51,230 --> 00:00:52,530","This isn&#39;t real."
B - Sad,0.1982,"00:00:51,230 --> 00:00:52,530","This isn&#39;t real."
C - Neutral,0.1982,"00:00:51,230 --> 00:00:52,530","This isn&#39;t real."
D - Happy,0.5413,"00:00:51,230 --> 00:00:52,530","This isn&#39;t real."
