key,value,date
E - Very Sad,0.1497,01/08/13
E - Very Sad,0.0161,01/09/13
E - Very Sad,0.0328,01/10/13
E - Very Sad,0.0492,01/11/13
E - Very Sad,0.0529,01/12/13
E - Very Sad,0.1143,01/13/13
E - Very Sad,0.0341,01/14/13
E - Very Sad,0.0341,01/15/13
E - Very Sad,0.0096,01/16/13
E - Very Sad,0.0254,01/17/13
E - Very Sad,0.0568,01/18/13
E - Very Sad,0.0496,01/19/13
E - Very Sad,0.2937,01/20/13
E - Very Sad,0.1487,01/21/13
E - Very Sad,0.0267,01/22/13
E - Very Sad,0.0810,01/23/13
E - Very Sad,0.0241,01/24/13
E - Very Sad,0.0135,01/25/13
E - Very Sad,0.0859,01/26/13
E - Very Sad,0.0124,01/27/13
E - Very Sad,0.0527,01/28/13
D - Sad,0.5940,01/08/13
D - Sad,0.3318,01/09/13
D - Sad,0.2969,01/10/13
D - Sad,0.2420,01/11/13
D - Sad,0.2479,01/12/13
D - Sad,0.3898,01/13/13
D - Sad,0.1373,01/14/13
D - Sad,0.1373,01/15/13
D - Sad,0.1030,01/16/13
D - Sad,0.0833,01/17/13
D - Sad,0.5156,01/18/13
D - Sad,0.3738,01/19/13
D - Sad,0.5376,01/20/13
D - Sad,0.6526,01/21/13
D - Sad,0.1709,01/22/13
D - Sad,0.5509,01/23/13
D - Sad,0.1214,01/24/13
D - Sad,0.0324,01/25/13
D - Sad,0.5223,01/26/13
D - Sad,0.1020,01/27/13
D - Sad,0.4021,01/28/13
C - Neutral,0.1997,01/08/13
C - Neutral,0.6365,01/09/13
C - Neutral,0.4391,01/10/13
C - Neutral,0.4596,01/11/13
C - Neutral,0.2872,01/12/13
C - Neutral,0.2270,01/13/13
C - Neutral,0.3477,01/14/13
C - Neutral,0.3477,01/15/13
C - Neutral,0.7797,01/16/13
C - Neutral,0.1581,01/17/13
C - Neutral,0.3401,01/18/13
C - Neutral,0.4762,01/19/13
C - Neutral,0.1489,01/20/13
C - Neutral,0.1794,01/21/13
C - Neutral,0.4192,01/22/13
C - Neutral,0.2994,01/23/13
C - Neutral,0.5845,01/24/13
C - Neutral,0.1005,01/25/13
C - Neutral,0.3805,01/26/13
C - Neutral,0.7116,01/27/13
C - Neutral,0.2920,01/28/13
B - Happy,0.0363,01/08/13
B - Happy,0.0142,01/09/13
B - Happy,0.2112,01/10/13
B - Happy,0.2082,01/11/13
B - Happy,0.3373,01/12/13
B - Happy,0.1864,01/13/13
B - Happy,0.3926,01/14/13
B - Happy,0.3926,01/15/13
B - Happy,0.1018,01/16/13
B - Happy,0.6034,01/17/13
B - Happy,0.1541,01/18/13
B - Happy,0.2687,01/19/13
B - Happy,0.1541,01/20/13
B - Happy,0.0416,01/21/13
B - Happy,0.0936,01/22/13
B - Happy,0.0488,01/23/13
B - Happy,0.0457,01/24/13
B - Happy,0.1216,01/25/13
B - Happy,0.1216,01/26/13
B - Happy,0.1216,01/27/13
B - Happy,0.1216,01/28/13
A - Very Happy,0.0172,01/08/13
A - Very Happy,0.0950,01/09/13
A - Very Happy,0.0198,01/10/13
A - Very Happy,0.0425,01/11/13
A - Very Happy,0.0541,01/12/13
A - Very Happy,0.0569,01/13/13
A - Very Happy,0.0425,01/14/13
A - Very Happy,0.0579,01/15/13
A - Very Happy,0.0425,01/16/13
A - Very Happy,0.0369,01/17/13
A - Very Happy,0.0425,01/18/13
A - Very Happy,0.1667,01/19/13
A - Very Happy,0.0425,01/20/13
A - Very Happy,0.0360,01/21/13
A - Very Happy,0.0105,01/22/13
A - Very Happy,0.0425,01/23/13
A - Very Happy,0.0170,01/24/13
A - Very Happy,0.0278,01/25/13
A - Very Happy,0.0425,01/26/13
A - Very Happy,0.0170,01/27/13
A - Very Happy,0.0278,01/28/13
